"year","country","location","sea_level_rise"
"2008","Dominican Republic","North Jasonfort","0.0222348953476349"
"2007","Central African Republic","Port Sandra","0.0225057467972706"
"2006","Philippines","North Carolchester","0.0227856252083977"
"2007","Cook Islands","South Stephenshire","0.0232310759493152"
"2009","Samoa","South Philip","0.0233244387964433"
"2004","Congo","Lake Ronald","0.0240034604827377"
"2022","Barbados","Lyonsside","0.024178278078046"
"2013","Samoa","Paulport","0.0243109724112407"
"2012","Swaziland","Robertschester","0.0244943562124405"
"2021","Australia","East Robert","0.0247652004433117"
"2015","Christmas Island","Michaelport","0.0248287758257477"
"2003","Togo","Ashleybury","0.0248616541040529"
"2013","Saint Martin","Kelleyburgh","0.0249468500798963"
"2008","Georgia","Lake Patrickborough","0.0250501965712613"
"2003","Canada","Brittanyport","0.0251960220244975"
"2020","Costa Rica","New Steven","0.0252777670502752"
"2004","Jamaica","Andersonfort","0.0253253223757692"
"2021","Guadeloupe","Beardstad","0.0256709485253473"
"2003","French Guiana","East Cynthia","0.0258637620960273"
"2014","Syrian Arab Republic","South Deannahaven","0.0260254801504934"
"2022","Tajikistan","West Steventown","0.0263232641363161"
"2013","Uzbekistan","East Bonniemouth","0.0263682109316208"
"2002","Denmark","Lambertbury","0.02717499732356"
"2020","Turks and Caicos Islands","Lake Heatherland","0.0276868404279356"
"2003","Iceland","Williamville","0.0278505792577028"
"2015","Namibia","Colemanshire","0.0279347362597336"
"2021","United Arab Emirates","Blakeside","0.0281061127743937"
"2016","Aruba","South Danielmouth","0.0282055007186927"
"2017","Ghana","North Shawnburgh","0.0290538320184306"
"2007","Northern Mariana Islands","Flynnfort","0.0290811090483829"
"2017","British Virgin Islands","South Dominiquefort","0.0291623251767725"
"2020","Dominican Republic","Obrienland","0.029166283931993"
"2014","Jamaica","Port Lauraborough","0.0293301136147533"
"2012","Jersey","Lake William","0.0295397265137237"
"2010","Cayman Islands","South Davidchester","0.0295514504547095"
"2001","Latvia","Raymondport","0.0297110543991951"
"2000","Israel","Hutchinsonburgh","0.0300121637295578"
"2020","Montenegro","North Sheliaburgh","0.0300169725030647"
"2014","Jordan","West Katherineton","0.0302801772055802"
"2002","Tunisia","Tanyamouth","0.030539641735672"
"2000","British Indian Ocean Territory (Chagos Archipelago)","West Jeffrey","0.0305414513135537"
"2017","Rwanda","Jacobsview","0.031039614748188"
"2018","Albania","East David","0.0313800513560956"
"2011","Italy","New Lisa","0.0317405532710427"
"2020","Algeria","East Rachelmouth","0.0326350342771335"
"2018","Portugal","West Christinafurt","0.0326950963665785"
"2004","Gibraltar","East Alexander","0.0331243923515266"
"2000","Solomon Islands","Harperport","0.0331872855206747"
"2014","Bulgaria","Lopezville","0.0334492896406725"
"2018","Bulgaria","Hollandbury","0.0337794709729771"
"2002","Guyana","Coryville","0.0341325440775341"
"2014","Lesotho","Jonathantown","0.0342423565421668"
"2013","Czech Republic","South Tammy","0.0342521975270156"
"2007","Anguilla","Joshuabury","0.0350591052273012"
"2017","Congo","East Doris","0.036078721595119"
"2016","Zambia","Port Breanna","0.0361159352162644"
"2022","Saint Barthelemy","North George","0.0368367345746379"
"2012","Seychelles","North Michellechester","0.036976418214214"
"2003","France","Fischerbury","0.0384960794562874"
"2020","Sao Tome and Principe","Port Antonioshire","0.0388577498698929"
"2008","Tanzania","Rosefurt","0.0393298994910735"
"2021","Armenia","North Justinchester","0.0396134509883257"
"2011","Liechtenstein","South Ericaport","0.0397962713587544"
"2008","Cape Verde","New Nicholaston","0.0402576597558662"
"2007","Angola","Port Taylor","0.0407097053797867"
"2020","Antigua and Barbuda","West Aaronport","0.0414179591442002"
"2007","Heard Island and McDonald Islands","East Eric","0.0415731041099675"
"2007","Brunei Darussalam","West Rebecca","0.0416416558308899"
"2009","Georgia","Port Michael","0.041653296388377"
"2009","Kenya","South Christopherchester","0.0418029979508417"
"2021","Madagascar","Fordchester","0.0418490988213939"
"2012","Cook Islands","Powellmouth","0.0420454043248794"
"2016","Cameroon","Lake Rebeccamouth","0.0421157889638752"
"2004","Suriname","Richardton","0.0423259945933309"
"2013","Svalbard & Jan Mayen Islands","East Michaelfort","0.0425472838060073"
"2002","Zimbabwe","Christineland","0.0429691318804909"
"2001","Jordan","Robertville","0.043030052249181"
"2015","Malta","New Dominiqueberg","0.0435595460043212"
"2015","Lesotho","West Tonya","0.0437332075200545"
"2021","Gibraltar","Kentfurt","0.0438688825231145"
"2001","Brazil","South Katherinefurt","0.0438923350899135"
"2017","Kyrgyz Republic","North Elizabeth","0.0440933274876492"
"2014","Saint Lucia","Port Michaelborough","0.0443082725204752"
"2002","Ghana","Guerrahaven","0.0443865395627516"
"2016","Iraq","North Williambury","0.0448451699440479"
"2005","Dominica","North Mark","0.0455490688312964"
"2022","Namibia","Allisonton","0.0455715825758366"
"2012","Gabon","Collierhaven","0.0457670870510127"
"2008","El Salvador","Port Nancyview","0.0457866655711916"
"2012","Thailand","North Jamestown","0.0460197158095974"
"2008","Costa Rica","New Barbarafurt","0.0461287508524031"
"2015","Wallis and Futuna","Frankchester","0.0466587307157152"
"2019","Anguilla","Byrdmouth","0.0472319863131843"
"2020","Iraq","North Jessicaton","0.0474569110327347"
"2004","Bangladesh","New John","0.047945138676508"
"2011","Afghanistan","Hensleystad","0.0482596840902548"
"2003","Vanuatu","Ericafurt","0.0483433846026935"
"2005","Saint Vincent and the Grenadines","East Joshuaview","0.0488181268920797"
"2016","Cook Islands","Aprilmouth","0.048850156568449"
"2020","Sudan","West Danny","0.0490639899508928"
"2001","Kenya","Port Jessicaview","0.0492234877356093"
"2002","Estonia","Frostfort","0.0496001348000327"
"2008","Burundi","New Denisestad","0.049741765602035"
"2003","Albania","Riversbury","0.0498056261226423"
"2007","Grenada","Lake Christine","0.0501188269016602"
"2006","Ireland","North Mirandatown","0.050141307564385"
"2000","Albania","Montgomeryhaven","0.0504444649828139"
"2010","El Salvador","Deborahmouth","0.0506889632544804"
"2000","Puerto Rico","Katherineport","0.050752694108513"
"2015","Ghana","Lyonsville","0.0510240536191914"
"2015","Angola","Wandatown","0.0514536505502612"
"2011","Mali","Angelville","0.0514949955546611"
"2006","Vanuatu","Dawsonchester","0.0515897843974348"
"2018","Congo","Meganshire","0.0516122270179411"
"2001","Malawi","Heatherside","0.0516669148255005"
"2011","Lesotho","Lake Juan","0.0517533138593568"
"2010","Chad","Charlesshire","0.0524508177165781"
"2005","Bosnia and Herzegovina","Lake Ryan","0.0525491318955182"
"2004","Bermuda","Kristinemouth","0.0528138592507566"
"2003","Nigeria","East Devinborough","0.053112053869696"
"2008","Saint Vincent and the Grenadines","East Mathew","0.0532299109292051"
"2018","Vietnam","Port Natalie","0.0534089786387636"
"2021","Bahamas","West Erinshire","0.0541899567419265"
"2019","Iraq","Robertmouth","0.0543366897310198"
"2013","United Kingdom","Owenstown","0.0544396105725748"
"2021","Kyrgyz Republic","Woodville","0.0548322210903456"
"2010","Cayman Islands","Port Annville","0.0549483650016034"
"2014","Malawi","Smithberg","0.0550843479687867"
"2002","Kenya","Caseview","0.0557230320563819"
"2021","Bahamas","Howellchester","0.0563343678075032"
"2003","Somalia","East Thomas","0.0570218841295173"
"2002","Sweden","South Charles","0.0570968693172344"
"2003","Sierra Leone","Nortonstad","0.057318162559564"
"2012","Lesotho","East Denisehaven","0.0580869478417074"
"2014","Morocco","Lake Sheilaberg","0.0584218512060526"
"2000","Tuvalu","Port Richardfurt","0.0584712409258889"
"2004","Japan","Anatown","0.0585541526436811"
"2015","Netherlands Antilles","Garciastad","0.0588903135006785"
"2014","Taiwan","New Kaylafort","0.0592073397263071"
"2005","Ethiopia","Matthewtown","0.0598995782411408"
"2013","Vanuatu","Parkerview","0.0599811507401419"
"2001","Sierra Leone","Davenportfort","0.0605691032537787"
"2022","Isle of Man","Hillton","0.0607920479560836"
"2002","Haiti","Lake David","0.0609714051511828"
"2019","Australia","Port Taylor","0.0610699755977946"
"2022","Suriname","Dustinview","0.0618084109285933"
"2016","Canada","North Jackville","0.0619102950410393"
"2003","British Virgin Islands","Lake Ashleyland","0.0621451605006897"
"2019","Palau","East Robertshire","0.0627854438904666"
"2012","Macao","North Robertland","0.0628669888933349"
"2012","Slovakia (Slovak Republic)","Zacharyborough","0.0629764568122992"
"2017","Grenada","Maryland","0.0630800426894073"
"2004","Singapore","Josephport","0.0631350071396499"
"2020","United States Minor Outlying Islands","Millermouth","0.0634169885950612"
"2006","Sudan","Gonzalezland","0.0635027028071027"
"2015","Macao","New Michael","0.0635635159579837"
"2020","Estonia","North Christineport","0.0638338349817607"
"2009","Oman","North Joanneview","0.0639060213596483"
"2012","Belgium","East Allen","0.0642334256508751"
"2001","Israel","Samanthashire","0.064524073819286"
"2009","Spain","Dawnmouth","0.0648808412543388"
"2015","Sierra Leone","West Samantha","0.0655415402929702"
"2018","Senegal","Port Erika","0.0661958717314832"
"2007","San Marino","Kimberlyshire","0.0662404700495909"
"2013","Paraguay","New Peterfort","0.0670657771890931"
"2022","Maldives","Philliphaven","0.0670685472306825"
"2011","Cyprus","Harrisonmouth","0.0671745644929409"
"2010","Netherlands","New Spencerberg","0.0673579730201827"
"2000","Holy See (Vatican City State)","Lesterfort","0.0677307069941869"
"2011","French Polynesia","New Matthewborough","0.067734821987461"
"2014","Japan","Cynthiamouth","0.0677643306996578"
"2017","Burkina Faso","New Julie","0.0679636188178748"
"2007","Cambodia","Browningfurt","0.068399823970484"
"2010","Poland","New Amandashire","0.0694675521809515"
"2003","Nicaragua","New Jamesfurt","0.0695625887065801"
"2012","Sudan","Port Henrychester","0.0698037823892563"
"2020","Romania","Lopezberg","0.0699342077483638"
"2021","Bolivia","Beckerton","0.0700397974304137"
"2020","Saint Kitts and Nevis","Stevenborough","0.0702595986758784"
"2016","Niger","Annettebury","0.0704298456480072"
"2021","Georgia","Port Destinyhaven","0.0709627844310185"
"2016","Bahamas","Joshuahaven","0.0710995008183264"
"2015","Jersey","East Alexischester","0.0711256649364311"
"2013","San Marino","Baileyfurt","0.0716714743751908"
"2018","North Macedonia","New Rebeccaport","0.0716974737177441"
"2001","Montserrat","Lake James","0.0722495003481182"
"2017","Tokelau","Vincentmouth","0.072388124071133"
"2020","Netherlands Antilles","Thompsonshire","0.0727360966167404"
"2003","Kazakhstan","West Christopher","0.0727554462386851"
"2013","Gibraltar","Chavezchester","0.0728556329715539"
"2008","Turks and Caicos Islands","Garciafort","0.0729501184744116"
"2012","Ghana","South Joel","0.0729841779232936"
"2021","Malta","East Brittanyfurt","0.0731415031406679"
"2016","Cook Islands","Ericabury","0.0743575298347546"
"2020","Tuvalu","Wayneport","0.0749439446509795"
"2006","Eritrea","Frenchland","0.0751074258057271"
"2004","Hong Kong","Marcstad","0.0751594674008183"
"2015","Saint Barthelemy","New Carla","0.0756060499389618"
"2015","Liberia","Cunninghamton","0.0757850370828182"
"2012","Greece","West Christineland","0.0760336858166652"
"2012","Belarus","Gracehaven","0.0770711055542142"
"2008","Maldives","Hendersonchester","0.0771959430378881"
"2002","Liberia","Lake William","0.0772253769253743"
"2004","Vanuatu","South Tamara","0.0773459258162801"
"2017","Somalia","East Jason","0.0783212709949434"
"2014","Uganda","Lake Joshuachester","0.07854455003814"
"2018","Ethiopia","South Courtneyview","0.0785882543465981"
"2010","French Polynesia","Port Michael","0.0787432300409384"
"2011","Saint Kitts and Nevis","North Christinetown","0.0788333859322694"
"2012","Venezuela","New Tommyfort","0.0788662749396848"
"2018","Saint Barthelemy","Lake Richard","0.0796109669720668"
"2007","Lithuania","Ellisonborough","0.0796412188616457"
"2015","Seychelles","New Michellefurt","0.0804562122042307"
"2002","Bulgaria","North Jeanettefurt","0.080464976745603"
"2008","Armenia","Lake Jessica","0.0807289707330989"
"2022","Kiribati","Ethanhaven","0.0807320816317152"
"2017","Saint Martin","North Lauren","0.0812547172543676"
"2000","Bhutan","East Nicholas","0.0815114078104719"
"2019","Netherlands Antilles","New Christian","0.0818438465457763"
"2000","Iran","West Mark","0.0820835457150869"
"2000","Northern Mariana Islands","East Keith","0.0821932969392518"
"2010","Solomon Islands","North Heather","0.0827484161599481"
"2022","Kazakhstan","New Jameston","0.0830137453223607"
"2020","Faroe Islands","Brooksville","0.0838135361069079"
"2005","Liberia","Patriciabury","0.0838924285403072"
"2017","Gibraltar","North James","0.0840031350956821"
"2003","Saint Barthelemy","Ritaburgh","0.0840658329603713"
"2008","Netherlands","West Victoria","0.0844430003388115"
"2019","Antigua and Barbuda","North Ronald","0.0844924019258238"
"2011","Holy See (Vatican City State)","Kimberlyland","0.0850411652514277"
"2017","Sao Tome and Principe","Johnsonshire","0.0850520462230059"
"2016","Qatar","North Hectorchester","0.085757834857661"
"2012","Nauru","Michaelview","0.0860467369139327"
"2016","Netherlands Antilles","South Brian","0.086070493786074"
"2001","Myanmar","Watsonberg","0.0863000737201049"
"2019","United Arab Emirates","Smithchester","0.0863422644640623"
"2009","Mozambique","Joshuatown","0.0866462980662193"
"2001","Saint Barthelemy","Thompsonton","0.0874225388815155"
"2010","Thailand","Port Carrie","0.087497365618691"
"2014","Latvia","Hopkinsburgh","0.0875533795538895"
"2010","San Marino","New Nicholasland","0.0876077238941181"
"2007","British Virgin Islands","Port Beth","0.087696069603466"
"2012","Malta","South Joseph","0.0879641309241055"
"2009","Cote d'Ivoire","New Sean","0.0880281527897156"
"2008","Tonga","North William","0.0880654740329541"
"2016","Antarctica (the territory South of 60 deg S)","Alexisland","0.088271679890079"
"2001","Azerbaijan","Michaelmouth","0.0883577708474318"
"2021","Macao","South Shawnshire","0.0884642218826683"
"2010","Iraq","New Mark","0.0887312415157893"
"2020","Togo","East Nathanside","0.0889583460420901"
"2008","Qatar","Griffinburgh","0.0892568080342787"
"2016","Belgium","East Stevenmouth","0.0892910746539578"
"2009","Korea","Matthewborough","0.0893582966383847"
"2015","Brazil","New Natalie","0.0895415565964025"
"2001","Saint Lucia","East Fernando","0.089667030580351"
"2007","Montserrat","Allenborough","0.0897741123093913"
"2014","Saint Lucia","East Whitneyshire","0.0900572151777361"
"2008","Kiribati","Port Eileenton","0.0900813931916288"
"2017","Latvia","Port Josephshire","0.0901104932326942"
"2016","Nepal","Harrisonchester","0.0907949816912174"
"2015","Brunei Darussalam","Nathanmouth","0.0909308293585375"
"2007","Tunisia","South Andrew","0.0911371450129436"
"2008","Solomon Islands","Garciaberg","0.0913125523222751"
"2003","Venezuela","Sotoview","0.091377071751772"
"2021","Saudi Arabia","South Jill","0.0922655820231894"
"2019","Wallis and Futuna","Stephenmouth","0.0922808876624871"
"2004","Tunisia","New Sherry","0.0930541833567136"
"2005","Saint Lucia","Port Gregorystad","0.0936498577558242"
"2009","Cameroon","Port Cindy","0.0939660491983865"
"2019","Barbados","Allisonberg","0.0942821396910319"
"2022","Greenland","Jasminemouth","0.094285660219089"
"2015","Antigua and Barbuda","Robertborough","0.0943506816885448"
"2020","Qatar","South Chadchester","0.094412845016963"
"2000","Slovenia","Lake Donaldland","0.0944217368487473"
"2018","Western Sahara","Port Garyburgh","0.0948991826326975"
"2017","Saint Helena","Craigchester","0.0952742752842158"
"2021","Liechtenstein","North Tracyview","0.0956535295213976"
"2017","Puerto Rico","Wigginsville","0.0959829692630759"
"2006","Guyana","New Marioland","0.0962458251208854"
"2010","Cayman Islands","Hillmouth","0.0965694107456384"
"2019","Cuba","Wheelerland","0.0969495678933906"
"2005","Fiji","Adamschester","0.0975151031724873"
"2003","Georgia","Houstonmouth","0.0976134870807386"
"2022","Greece","Port Jessica","0.0976346883670106"
"2003","Falkland Islands (Malvinas)","North Kathleenport","0.0985943123742577"
"2001","Iran","Lake Steve","0.0992039843379077"
"2005","Kenya","Gloriaside","0.0992695109969824"
"2012","French Polynesia","Harperfurt","0.0993030939412284"
"2006","Antarctica (the territory South of 60 deg S)","West Sarah","0.0994466541025277"
"2000","Serbia","Amandafort","0.099512080746512"
"2008","Romania","East Destiny","0.0995682648958266"
"2004","Western Sahara","East Timothybury","0.1007268323746636"
"2017","Sweden","East Brendafurt","0.1007865287786094"
"2012","Fiji","South Abigail","0.1007870590390599"
"2012","Tajikistan","Port Nicholas","0.1009371980780989"
"2019","Iraq","Kerrfort","0.1010612365074422"
"2019","Germany","Thorntonchester","0.1012359788051195"
"2013","New Zealand","Dennisbury","0.1015535522526885"
"2001","Cayman Islands","Williamtown","0.1015958627452867"
"2005","Philippines","Andersonchester","0.1023976318767923"
"2018","Seychelles","Port Rebecca","0.1024204209195474"
"2009","Congo","Calderonview","0.102973442052335"
"2016","Montserrat","Port Natasha","0.1035011451883892"
"2006","Holy See (Vatican City State)","Lauraville","0.1035632368564285"
"2013","Latvia","East Christinemouth","0.1037414381450077"
"2003","Switzerland","Robertview","0.1042856211854564"
"2009","Slovakia (Slovak Republic)","North Matthewtown","0.1042949228388264"
"2015","Bahrain","Derrickfurt","0.1043867830942392"
"2008","Japan","West Julianton","0.1047186953161969"
"2005","South Africa","Port Jennifermouth","0.1049578094056636"
"2003","Equatorial Guinea","Holtside","0.1049810856562005"
"2008","Lebanon","New Dianefort","0.1051183556705885"
"2006","Nauru","East Justinport","0.1064185310695697"
"2005","Kyrgyz Republic","Sharpfurt","0.1069655695361084"
"2008","Chile","Theodoremouth","0.1074778884796446"
"2008","Cuba","South Collin","0.1075638582478135"
"2007","Niger","South Glen","0.1077977429912198"
"2005","Haiti","Hernandezborough","0.1082426603323738"
"2013","Central African Republic","Aaronfort","0.1087890262146691"
"2013","Lesotho","Elizabethmouth","0.1090309254872845"
"2019","Saint Pierre and Miquelon","North Billy","0.1095186041419299"
"2019","Saint Barthelemy","Tabithaborough","0.1095623431761092"
"2017","Bangladesh","Port Susan","0.1096142255458514"
"2018","Turks and Caicos Islands","East Maurice","0.1102670520644323"
"2005","Mongolia","New Nicholasmouth","0.1102994576803795"
"2019","Armenia","Lake Lynn","0.1108421613261449"
"2016","Mauritania","South Tammy","0.11188636133699"
"2011","Italy","East Veronicaport","0.1120032127259268"
"2017","Canada","Webbshire","0.1121255487094398"
"2004","Ecuador","Brianafurt","0.1123994801447372"
"2005","Czech Republic","North Melanie","0.1124367284515942"
"2016","Maldives","Williamsburgh","0.1124855877586445"
"2006","Saudi Arabia","North Lindsey","0.1125428396441383"
"2015","Turkey","Nicoleburgh","0.1127989922205131"
"2011","Holy See (Vatican City State)","Hopkinsstad","0.112915517381744"
"2015","Norway","Victorland","0.1129850950638603"
"2002","Haiti","Joshualand","0.1136286157530796"
"2010","South Georgia and the South Sandwich Islands","Walkerborough","0.11365707373656"
"2000","Ukraine","Johnnyburgh","0.1142946531887069"
"2003","Tuvalu","Owensville","0.1146932125526457"
"2010","United States Minor Outlying Islands","Pachecoville","0.1149387981280855"
"2017","Kyrgyz Republic","Smithborough","0.1151373620164833"
"2002","Korea","Port Scottton","0.1152376956656418"
"2006","Nicaragua","Emilyfort","0.1152645808027165"
"2003","Poland","East Javier","0.1153978921445837"
"2011","Norway","Williamborough","0.1154315149282189"
"2006","Oman","Lake Kevin","0.1159987223625213"
"2003","Niger","New Rebekahchester","0.1161689027323925"
"2013","Korea","Port Rebeccatown","0.1161890004442633"
"2002","Heard Island and McDonald Islands","East Kristin","0.1162086533619526"
"2008","Puerto Rico","North Michaelside","0.1169029731884506"
"2018","Niger","Stephaniefort","0.1169261069122685"
"2007","Guinea","Stephaniemouth","0.1170742168396119"
"2002","Cameroon","Jasonfurt","0.1178275076389798"
"2017","Sri Lanka","Walterburgh","0.1183268840768665"
"2001","Mauritania","Armstrongport","0.1185625311776758"
"2017","Sri Lanka","South Chrisfort","0.1185837114498794"
"2009","Andorra","North Dominic","0.1186921899444663"
"2005","Qatar","East Brookebury","0.1188196410468813"
"2005","Cocos (Keeling) Islands","Robertmouth","0.1191437433051967"
"2006","Mozambique","Lake Gracetown","0.1192647919032177"
"2012","Niger","Bonillastad","0.1199465595220143"
"2014","British Virgin Islands","New Hollyside","0.1200391198594672"
"2020","British Indian Ocean Territory (Chagos Archipelago)","Charlesborough","0.1205940896717474"
"2021","Botswana","Brianborough","0.1208895419212215"
"2010","Jordan","Johntown","0.1209928695910195"
"2001","Kenya","Johnnyside","0.1210209467876081"
"2004","Solomon Islands","Port Timothyburgh","0.1213196288606866"
"2005","Cape Verde","Cooperburgh","0.1214997851025544"
"2020","Bolivia","Skinnerhaven","0.1218596423368641"
"2001","Liberia","Kellyside","0.1220993767170434"
"2005","Antigua and Barbuda","New Bradley","0.1223087091721947"
"2017","Martinique","Clarkview","0.1223771516866186"
"2006","Sweden","Halltown","0.1224170527936509"
"2011","Costa Rica","South Jacquelineland","0.1232339052013409"
"2000","Slovenia","Port Austinchester","0.1239299679099418"
"2012","Senegal","Ericfort","0.1239457168008386"
"2005","Lebanon","Matthewsshire","0.1242034556707809"
"2000","Taiwan","East Christy","0.1242636972955711"
"2005","Ghana","Johnsonchester","0.12439177038335"
"2017","Grenada","North Kellitown","0.1244676611993405"
"2006","Rwanda","West Davidborough","0.1244945056100245"
"2013","Guinea-Bissau","Donnaland","0.1249785162220276"
"2012","Botswana","Maldonadostad","0.1251032518954533"
"2002","Indonesia","North Carl","0.1253103376434574"
"2013","United Kingdom","Sullivanport","0.1254919833931434"
"2015","Yemen","Jordanburgh","0.1260437454396291"
"2002","Croatia","Pattersonmouth","0.1265387949961489"
"2019","Burkina Faso","Port Sharonstad","0.1269056285422821"
"2006","Rwanda","East Audreyport","0.1272684401547264"
"2016","Latvia","Laurenstad","0.1273166026781782"
"2015","Cape Verde","Danielland","0.1285775739243483"
"2005","Saint Vincent and the Grenadines","Molinaland","0.1285845802439132"
"2019","Seychelles","Haneymouth","0.1286689119777162"
"2020","Bolivia","Lake Julianfurt","0.1293116367323938"
"2014","Maldives","Edwardschester","0.1293698831725013"
"2012","Hungary","New Mark","0.1295263205371984"
"2009","Montserrat","Lake Lindastad","0.1296819250468959"
"2002","Vietnam","Edwardshire","0.1298593558988651"
"2005","China","West Deborah","0.1299423297136265"
"2014","Cocos (Keeling) Islands","New Bethanytown","0.1302835198654284"
"2010","Sweden","Bethanytown","0.1304618436261859"
"2011","Namibia","Duncanhaven","0.1305827028102917"
"2009","Guadeloupe","Port Jasonmouth","0.1306199198649748"
"2016","United States Minor Outlying Islands","Port Monica","0.13067704255628"
"2021","Slovenia","Caroltown","0.1308212576611412"
"2006","Saint Barthelemy","Kentfurt","0.130832816988117"
"2016","Croatia","Browningstad","0.1315154153070656"
"2002","Uganda","Carterview","0.13154229792827"
"2010","Colombia","North Cassandramouth","0.1318134067679893"
"2001","Micronesia","Port Courtney","0.1319134849534358"
"2007","Fiji","Kimberlyland","0.1320091947277727"
"2018","United Arab Emirates","New Manuelfort","0.1324265526682783"
"2017","Kuwait","New Ian","0.1324332843714114"
"2022","Cote d'Ivoire","East Sierraville","0.1326724094981775"
"2022","Norway","New Ashley","0.1327001871270045"
"2000","Micronesia","Jonesshire","0.1332585346981145"
"2015","Vanuatu","Farrellburgh","0.13353373883961"
"2017","Malta","Ericafort","0.133673045033302"
"2013","Qatar","North Carolynchester","0.133805248454588"
"2011","Afghanistan","Douglasmouth","0.1339297377430223"
"2004","Bulgaria","Lake Barbaramouth","0.1340193815139282"
"2011","Chad","North Allenview","0.1340498113755392"
"2017","Gibraltar","Griffinshire","0.1346791964615756"
"2018","Anguilla","Lake Valeriebury","0.1352673746853035"
"2006","Iceland","Hamiltonmouth","0.1352738734067115"
"2000","Chad","North Ryan","0.13598059595662"
"2020","Netherlands","Stevenhaven","0.1362339538785369"
"2021","Burkina Faso","New Justinmouth","0.1363267939954906"
"2006","Faroe Islands","New Kelly","0.1364030923578079"
"2012","Isle of Man","Brandonfort","0.1367513540556763"
"2007","Cuba","Adriennebury","0.1368418904641016"
"2022","Suriname","Lake Anna","0.1369704676505576"
"2017","Armenia","Christopherport","0.1370821066945202"
"2005","New Caledonia","West Elizabethchester","0.1372747860449676"
"2015","Mozambique","South Jessicashire","0.1386757111906192"
"2014","Belarus","South Jeffrey","0.1387517704201811"
"2021","Chile","West Allen","0.1387794698888358"
"2003","China","Gregoryton","0.1389945882859314"
"2012","Cape Verde","Port Williamland","0.1390111344096509"
"2003","Singapore","Danabury","0.1393403014462957"
"2018","Lesotho","Schwartzmouth","0.1397496442425451"
"2014","Belize","South Rickyberg","0.1398786534810251"
"2009","Lithuania","Gallagherland","0.1404468426557728"
"2010","Liberia","Dustinchester","0.1406703223871579"
"2013","Congo","North Jennifermouth","0.1407757602796214"
"2006","Angola","Mayton","0.1410557096574837"
"2015","Falkland Islands (Malvinas)","Port Carrie","0.141112170476404"
"2000","Cook Islands","Marcmouth","0.1411357540249164"
"2021","Anguilla","North Danieltown","0.1412568074201418"
"2015","Canada","Kimberlystad","0.1415294061421586"
"2004","San Marino","West Matthewshire","0.1420453937102702"
"2003","Kuwait","Lake Amandaland","0.1421936698442726"
"2013","Romania","Port Valerie","0.1422627358732278"
"2004","Morocco","Andrewburgh","0.1424229868276243"
"2018","Venezuela","New Jose","0.1425309040468903"
"2021","Mexico","South Dennismouth","0.1426857874165313"
"2001","Peru","North Gabrielafurt","0.1427862924970452"
"2022","Guam","Marcoborough","0.1429246563242709"
"2009","San Marino","North Alexisville","0.1430754780180635"
"2008","Malaysia","Snyderhaven","0.1431660017554381"
"2018","Andorra","Lake Timothyside","0.1444143390443037"
"2015","Bolivia","Townsendtown","0.1447499344908007"
"2010","Vanuatu","Lake Robert","0.1447917460260523"
"2017","Belgium","Williamsonport","0.1451964621773798"
"2016","Qatar","Graceton","0.1456621100679265"
"2011","Samoa","Sherryhaven","0.1461554539716349"
"2020","Tuvalu","Julieborough","0.1463163242509734"
"2016","Congo","West Charles","0.1466005758511317"
"2011","Cook Islands","East Diana","0.14687909956593"
"2016","Gabon","Jonathanland","0.1469277071095063"
"2010","Bermuda","Fraziermouth","0.1469998720959426"
"2007","Somalia","Myersstad","0.1472291539146514"
"2000","Norway","East Toni","0.1477432485881382"
"2011","Bangladesh","East Daniel","0.1483968423500512"
"2018","Comoros","Port Brian","0.1487279804605497"
"2004","Saint Kitts and Nevis","East Angelaville","0.1492056817774879"
"2019","Korea","Gardnerbury","0.1492926397387674"
"2013","Turkmenistan","North Marissa","0.1496992078497409"
"2022","Burundi","Maldonadoborough","0.1499767520334804"
"2008","Croatia","Harrisfort","0.1503839055668163"
"2008","Tunisia","North William","0.1512340531957275"
"2014","Ukraine","Brendastad","0.1513967624324699"
"2014","Holy See (Vatican City State)","South Scott","0.1514446586595214"
"2005","Botswana","East Vanessa","0.1516460768140606"
"2019","Djibouti","New Kathryn","0.1523923062916945"
"2002","Antigua and Barbuda","Port Joemouth","0.152480729626601"
"2009","Dominica","Lesterfurt","0.1526583914959363"
"2013","Slovakia (Slovak Republic)","West Steven","0.1526909123836922"
"2013","Afghanistan","East Dawnhaven","0.1528096812448763"
"2007","Hungary","South Jessica","0.1532764758638085"
"2011","Israel","Gloverton","0.1537170324910423"
"2001","Antarctica (the territory South of 60 deg S)","Barnesborough","0.154039237405215"
"2010","Korea","East Jasonhaven","0.1541348760988858"
"2005","Oman","New John","0.1542211124881131"
"2016","Uzbekistan","Tamaraside","0.1545422437849001"
"2006","Madagascar","North Joseph","0.1545752925681481"
"2008","Sao Tome and Principe","West Catherine","0.1548178529567556"
"2012","United States Minor Outlying Islands","New Markberg","0.1558226683025137"
"2016","Australia","Port Davidborough","0.1561016253674136"
"2017","Cuba","South Marc","0.1564289982476995"
"2010","Saint Vincent and the Grenadines","Ramirezland","0.1565568881104384"
"2011","Libyan Arab Jamahiriya","Holtburgh","0.1566199162667788"
"2012","Angola","Mcmillanport","0.1567606886759903"
"2001","Botswana","North Peterberg","0.1569728068522649"
"2015","Bermuda","North Desireeport","0.1575134377296828"
"2017","French Guiana","North Madeline","0.157569170428454"
